Recipe ID,Dish Name,Category,Type,Cuisine,Rating,Prep Time (mins),Nutrients,Taste Profile & Tags,Ingredients,Price (₹),Order Count,Time of Day,Review,Spice Level,Serving Size,Allergens,Availability,Chef's Special,Calories,Pairing Suggestions,Taste Profile,Tags
R1,Tomato Soup,Starter,Veg,Continental,4.5,20,120 kcal / 4g protein / 20g carbs / 3g fat,"Savory, tangy; Tags: Vegetarian, Healthy, Quick","Tomatoes, cream, garlic, onion, butter, salt, pepper",180,520,Lunch/Dinner,"Rich flavor profile, always satisfying.",Mild,Large,Dairy,Always,No,120,"Garlic Bread, Soup","Savory, Tangy","Healthy, Quick, Vegetarian"
R2,Mushroom Soup,Starter,Veg,Continental,4.4,25,150 kcal / 6g protein / 18g carbs / 4g fat,"Earthy, savory; Tags: Vegetarian, Healthy","Mushrooms, cream, butter, garlic, herbs",200,500,Lunch/Dinner,"Rich flavor profile, always satisfying.",Mild,Medium,Dairy,Seasonal,No,150,"French Fries, Coke",Savory,"Healthy, Vegetarian"
R3,Chicken Soup,Starter,Non-Veg,Continental,4.6,30,160 kcal / 15g protein / 12g carbs / 5g fat,"Light, savory; Tags: Non-Veg, Healthy","Chicken, stock, garlic, onion, spices",220,600,Lunch/Dinner,"Comforting and tasty, great with sides.",Mild,Large,,Seasonal,No,160,"Plain Rice, Green Salad",Savory,"Healthy, Non-veg"
R4,Chicken Biryani,Rice Meal,Non-Veg,Indian,4.8,50,520 kcal / 25g protein / 70g carbs / 18g fat,"Spicy, aromatic; Tags: Non-Veg, Traditional","Rice, chicken, saffron, spices, onions",440,650,Dinner,Authentic taste that feels homemade.,Medium,Medium,,Seasonal,Yes,520,"Raita, Salad",Spicy,Non-veg
R5,Mutton Biryani,Rice Meal,Non-Veg,Indian,4.7,60,600 kcal / 28g protein / 72g carbs / 22g fat,"Rich, spicy; Tags: Non-Veg, Traditional","Rice, mutton, saffron, spices, onions",490,620,Dinner,"Rich flavor profile, always satisfying.",Medium,Small,,Limited,No,600,"Raita, Salad",Spicy,Non-veg
R6,Grilled Salmon,Ocean Meal,Non-Veg,Continental,4.4,35,450 kcal / 32g protein / 15g carbs / 22g fat,"Savory, smoky; Tags: Non-Veg, Healthy","Salmon, olive oil, lemon, herbs",500,150,Snack,"Perfectly balanced taste, highly recommended.",Mild,Large,,Always,No,450,"Tandoori Roti, Dal Fry",Savory,"Healthy, Non-veg"
R7,Butter Chicken,Meat Special,Non-Veg,Indian,4.9,40,490 kcal / 27g protein / 45g carbs / 20g fat,"Creamy, rich; Tags: Non-Veg, Spicy","Chicken, butter, tomato, cream, spices",495,600,Snack,"Comforting and tasty, great with sides.",Medium,Medium,,Always,Yes,490,"French Fries, Coke",Spicy,Non-veg
R8,Paneer Butter Masala,Vegetarian,Veg,Indian,4.7,35,420 kcal / 20g protein / 36g carbs / 18g fat,"Creamy, mildly spicy; Tags: Veg, Traditional","Paneer, butter, tomato, cream, spices",380,640,Dinner,Absolutely delicious and worth trying again!,Spicy,Large,Dairy,Seasonal,Yes,420,"Garlic Naan, Jeera Rice","Spicy, Mild",General
R9,Palak Paneer,Vegetarian,Veg,Indian,4.6,30,380 kcal / 18g protein / 30g carbs / 16g fat,"Savory, earthy; Tags: Veg, Healthy","Paneer, spinach, garlic, ginger, spices",360,610,Dinner,"Perfectly balanced taste, highly recommended.",Medium,Medium,Dairy,Always,Yes,380,"French Fries, Coke",Savory,Healthy
R10,Pepperoni Pizza,Pizza,Non-Veg,Italian,4.6,25,460 kcal / 22g protein / 50g carbs / 18g fat,"Savory, cheesy; Tags: Non-Veg, Fast Food","Pizza dough, tomato sauce, mozzarella, pepperoni",368,300,Dinner,"Perfectly balanced taste, highly recommended.",Mild,Medium,Gluten,Always,No,460,"French Fries, Coke",Savory,"Non-veg, Fast food"
R11,Margherita Pizza,Pizza,Veg,Italian,4.5,22,420 kcal / 18g protein / 48g carbs / 15g fat,"Cheesy, light; Tags: Veg, Fast Food","Pizza dough, tomato sauce, mozzarella, basil",330,350,Dinner,"Perfectly balanced taste, highly recommended.",Mild,Medium,"Gluten, Dairy",Always,Yes,420,"French Fries, Coke",Neutral,Fast food
R12,Veggie Burger,Burger,Veg,American,4.3,18,400 kcal / 15g protein / 50g carbs / 12g fat,"Savory, hearty; Tags: Veg, Fast Food","Bun, veggie patty, lettuce, tomato, cheese",250,370,Dinner,"Rich flavor profile, always satisfying.",Mild,Medium,Dairy,Seasonal,No,400,"French Fries, Cold Coffee",Savory,Fast food
R13,Gulab Jamun,Dessert,Veg,Indian,4.9,20,300 kcal / 6g protein / 50g carbs / 10g fat,"Sweet, rich; Tags: Dessert, Vegetarian","Milk solids, sugar, cardamom, rose water",150,720,Dessert,Loved by both kids and adults alike.,Mild,Large,Dairy,Seasonal,No,300,Masala Chai,Sweet,"Dessert, Vegetarian"
R14,Rasgulla,Dessert,Veg,Indian,4.8,25,280 kcal / 8g protein / 48g carbs / 6g fat,"Sweet, soft; Tags: Dessert, Vegetarian","Chenna, sugar syrup, cardamom",140,700,Dessert,Absolutely delicious and worth trying again!,Mild,Medium,Dairy,Limited,Yes,280,"Garlic Bread, Soup",Sweet,"Dessert, Vegetarian"
R15,Tiramisu,Dessert,Veg,Italian,4.8,30,450 kcal / 7g protein / 55g carbs / 18g fat,"Sweet, creamy; Tags: Dessert, Vegetarian","Mascarpone, coffee, cocoa, sugar, ladyfingers",280,260,Snack,"A customer favorite, full of flavor.",Mild,Large,Dairy,Always,No,450,"Tandoori Roti, Dal Fry",Sweet,"Dessert, Vegetarian"
R16,Ice Cream Sundae,Dessert,Veg,American,4.7,10,380 kcal / 6g protein / 52g carbs / 14g fat,"Sweet, creamy; Tags: Dessert, Vegetarian","Ice cream, chocolate sauce, nuts, whipped cream",200,500,Dessert,Loved by both kids and adults alike.,Mild,Small,"Egg, Dairy",Limited,Yes,380,Brownie,Sweet,"Dessert, Vegetarian"
R17,French Fries,Starter,Veg,American,4.4,15,300 kcal / 5g protein / 45g carbs / 12g fat,"Crispy, salty; Tags: Vegetarian, Fast Food","Potatoes, salt, oil",120,680,Lunch/Dinner,Loved by both kids and adults alike.,Mild,Medium,Dairy,Limited,No,300,"Tandoori Roti, Dal Fry",Neutral,"Vegetarian, Fast food"
R18,Veg Hakka Noodles,Rice & Noodles,Veg,Chinese,4.5,22,350 kcal / 10g protein / 60g carbs / 8g fat,"Savory, tangy; Tags: Veg, Indo-Chinese","Noodles, capsicum, carrot, soy sauce, garlic",220,620,Snack,"Great value for the price, must-try dish.",Mild,Medium,Dairy,Seasonal,Yes,350,"Plain Rice, Green Salad","Savory, Tangy",General
R19,Chicken Hakka Noodles,Rice & Noodles,Non-Veg,Chinese,4.6,25,400 kcal / 18g protein / 58g carbs / 10g fat,"Savory, spicy; Tags: Non-Veg, Indo-Chinese","Noodles, chicken, soy sauce, garlic, veggies",260,580,Snack,Absolutely delicious and worth trying again!,Mild,Medium,,Always,Yes,400,"French Fries, Coke","Savory, Spicy",Non-veg
R20,Veg Fried Rice,Rice & Noodles,Veg,Chinese,4.4,20,340 kcal / 8g protein / 65g carbs / 6g fat,"Savory, aromatic; Tags: Veg, Indo-Chinese","Rice, mixed veggies, soy sauce, garlic",200,640,Snack,"A customer favorite, full of flavor.",Mild,Medium,Dairy,Limited,No,340,"Tandoori Roti, Dal Fry",Savory,General
