Recipe ID,Dish Name,Category,Type,Cuisine,Rating,Prep Time (mins),Nutrients,Taste Profile & Tags,Ingredients,Price (₹),Order Count,Time of Day,Review,Pairing Suggestions,Spice Level,Serving Size,Allergens,Availability,Chef's Special,Calories,Tags,Taste
R1,Tomato Soup,Starter,Veg,Continental,4.5,20,120 kcal / 4g protein / 20g carbs / 3g fat,"Savory, tangy; Tags: Vegetarian, Healthy, Quick","Tomatoes, cream, garlic, onion, butter, salt, pepper",180,520,Lunch/Dinner,"Rich flavor profile, always satisfying.","French Fries, Coke",Mild,Medium,Dairy,Seasonal,Yes,120,Kids Special,Umami
R2,Mushroom Soup,Starter,Veg,Continental,4.4,25,150 kcal / 6g protein / 18g carbs / 4g fat,"Earthy, savory; Tags: Vegetarian, Healthy","Mushrooms, cream, butter, garlic, herbs",200,500,Lunch/Dinner,"A customer favorite, full of flavor.","French Fries, Coke",Mild,Large,Dairy,Always,Yes,150,Healthy,Spicy
R3,Chicken Soup,Starter,Non-Veg,Continental,4.6,30,160 kcal / 15g protein / 12g carbs / 5g fat,"Light, savory; Tags: Non-Veg, Healthy","Chicken, stock, garlic, onion, spices",220,600,Lunch/Dinner,"A customer favorite, full of flavor.","Garlic Bread, Soup",Mild,Small,None,Limited,Yes,160,Quick Bite,Umami
R4,Chicken Biryani,Rice Meal,Non-Veg,Indian,4.8,50,520 kcal / 25g protein / 70g carbs / 18g fat,"Spicy, aromatic; Tags: Non-Veg, Traditional","Rice, chicken, saffron, spices, onions",440,650,Dinner,"Light, fresh, and very enjoyable.","Raita, Salad",Medium,Medium,None,Limited,Yes,520,Quick Bite,Spicy
R5,Mutton Biryani,Rice Meal,Non-Veg,Indian,4.7,60,600 kcal / 28g protein / 72g carbs / 22g fat,"Rich, spicy; Tags: Non-Veg, Traditional","Rice, mutton, saffron, spices, onions",490,620,Dinner,"Rich flavor profile, always satisfying.","Raita, Salad",Medium,Large,None,Seasonal,Yes,600,Kids Special,Savory
R6,Grilled Salmon,Ocean Meal,Non-Veg,Continental,4.4,35,450 kcal / 32g protein / 15g carbs / 22g fat,"Savory, smoky; Tags: Non-Veg, Healthy","Salmon, olive oil, lemon, herbs",500,150,Snack,"Great value for the price, must-try dish.","Tandoori Roti, Dal Fry",Mild,Small,None,Seasonal,No,450,Comfort Food,Umami
R7,Butter Chicken,Meat Special,Non-Veg,Indian,4.9,40,490 kcal / 27g protein / 45g carbs / 20g fat,"Creamy, rich; Tags: Non-Veg, Spicy","Chicken, butter, tomato, cream, spices",495,600,Snack,"Comforting and tasty, great with sides.","Garlic Naan, Jeera Rice",Medium,Small,None,Always,Yes,490,Quick Bite,Tangy
R8,Paneer Butter Masala,Vegetarian,Veg,Indian,4.7,35,420 kcal / 20g protein / 36g carbs / 18g fat,"Creamy, mildly spicy; Tags: Veg, Traditional","Paneer, butter, tomato, cream, spices",380,640,Dinner,Loved by both kids and adults alike.,"Garlic Naan, Jeera Rice",Spicy,Small,Dairy,Always,No,420,Traditional,Sweet
R9,Palak Paneer,Vegetarian,Veg,Indian,4.6,30,380 kcal / 18g protein / 30g carbs / 16g fat,"Savory, earthy; Tags: Veg, Healthy","Paneer, spinach, garlic, ginger, spices",360,610,Dinner,"Light, fresh, and very enjoyable.","French Fries, Coke",Medium,Medium,Dairy,Always,No,380,Comfort Food,Umami
R10,Pepperoni Pizza,Pizza,Non-Veg,Italian,4.6,25,460 kcal / 22g protein / 50g carbs / 18g fat,"Savory, cheesy; Tags: Non-Veg, Fast Food","Pizza dough, tomato sauce, mozzarella, pepperoni",368,300,Dinner,"Great value for the price, must-try dish.","French Fries, Coke",Mild,Small,Gluten,Always,Yes,460,Modern Twist,Umami
